klantnummer,klantnaam,contactpersoon,telefoon,email,kvk_nummer,straat,huisnummer,postcode,plaats,land,iban
C10000,Vento ICT B.V.,C. de Cas de Graaf,033-4341800,k.zandbergen@vento.nl,354652,Philipsstraat,9,3833 LC,Leusden,NL,NL68ABNA0412595141
C10001,Café 'Het fust',,0314-359746,bier@hetfust.afas,,Frans Halsweg,23,7004 AA,Doetinchem,NL,
C10002,Perfecta Bouw,H. Henk Aert,0172-538522,info@perfectabouw.afas,,Oostkanaalweg,7,2441 EZ,Nieuwveen,NL,NL56INGB0001225383
C10003,Metaalwarenfabriek Berlicum B.V.,B. Bram Kroonen,073-4998531,info@berlicummetalen.afas,,Kerkwijk,54,5258 KC,Berlicum NB,NL,NL39SNSB0800536576
C10004,Eltingh Haarhuis Tennis & Events,,0578-621453,administratie@ehte.afas,,Sint Jorisweg,40,8161 HB,Epe,NL,NL60ABNA0542188546
C10005,Taxi- en vervoerscentrale Hilversum B.V.,K.M. Killian Brabovic,035-2813302,info@taxi-en-vervoer-hilversum.afas,,Erfgooiersstraat,160,1222 BD,Hilversum,NL,NL34RABO0162533322
C10006,De Priester & Scharsterburg Advies B.V.,H. Heidi Bezemer,0314-324580,info@priester-scharsterburg.afas,,Hamburgerstraat,2,7001 AK,Doetinchem,NL,NL49INGB0001615546
C10007,Erbi Lara B.V.,F. Fenna Voerman,058-2845652,info@erbilara.afas,,Agora,10,8934 CJ,Leeuwarden,NL,NL53INGB0686336534
C10008,Oostendorp-Nederland Service B.V.,,010-7671154,info@oostendorp-service-nl.afas,,Delflandseweg,92,3119 XB,Schiedam,NL,NL14SNSB0812146859
C10009,Air-Trading Ruurlo,,0318-938469,info@airtradingruurlo.afas,,Hoenderweg,66,6712 CB,Ede Gld,NL,NL41INGB0007330542
C10010,T.H. Barneveld B.V.,,023-5464167,info@thbarnieschicken.afas,,Kruisweg,1121,2131 CV,Hoofddorp,NL,NL67ABNA0410553115
C10011,Zandstra B.V.,,0343-558975,info@zandstrabv.afas,,Valkenkamp,7,3972 ZA,Driebergen-Rijsenburg,NL,NL71INGB0684575175
